accX_mean,accX_std,accX_min,accX_max,accY_mean,accY_std,accY_min,accY_max,accZ_mean,accZ_std,accZ_min,accZ_max,gyroX_mean,gyroX_std,gyroX_min,gyroX_max,gyroY_mean,gyroY_std,gyroY_min,gyroY_max,gyroZ_mean,gyroZ_std,gyroZ_min,gyroZ_max,label
-3793.866666666667,8338.758599564937,-15904.0,7368.0,-189.51111111111112,434.15647693504064,-1044.0,680.0,17189.422222222223,4031.9765651876282,7192.0,23160.0,-1914.6666666666667,17.056057308448835,-1936.0,-1872.0,-1356.8666666666666,1503.1076989176306,-3765.0,2442.0,2015.9777777777779,2850.7088790564558,-2061.0,8428.0,paper
-3399.2380952380954,10103.504004128477,-19256.0,10640.0,241.42857142857142,495.0327480104599,-876.0,1072.0,15727.904761904761,4796.052969710558,2040.0,21248.0,-1911.2380952380952,19.096429910006258,-1936.0,-1872.0,-1615.8333333333333,1899.5325730123607,-5251.0,1238.0,3087.2619047619046,2634.2613261806273,-1745.0,9828.0,paper
-5966.444444444444,5960.043885702256,-16924.0,868.0,225.92592592592592,606.7592806032579,-1284.0,1140.0,17802.296296296296,3722.2390990574563,8292.0,22484.0,-1914.962962962963,16.68686407221681,-1952.0,-1888.0,-1473.962962962963,1126.1655088482141,-3711.0,1170.0,989.0,2946.5922434325053,-10535.0,6487.0,paper
-3639.5471698113206,7721.974425091725,-15828.0,6816.0,1691.3962264150944,404.1487892245133,804.0,2444.0,17816.150943396227,3013.8064827124313,10456.0,22012.0,-1914.867924528302,17.406936875246313,-1968.0,-1872.0,-1534.5471698113208,1457.85761632026,-4428.0,622.0,1962.6603773584907,2284.9544680145937,-3047.0,8829.0,paper
-2829.0232558139537,10074.489578204497,-16960.0,8680.0,654.6976744186046,676.5169738793282,-480.0,1636.0,16071.720930232557,4406.03027422743,6280.0,22384.0,-1923.7209302325582,15.550724346006932,-1952.0,-1872.0,-1326.1162790697674,1746.0568120537082,-4196.0,2118.0,2520.0232558139537,4108.892316777706,-8042.0,13052.0,paper
-5617.422222222222,9211.157667072948,-17980.0,9348.0,1891.8222222222223,366.2765528003576,1128.0,2500.0,15675.644444444444,4158.700043586367,5444.0,22108.0,-1922.1333333333334,18.24280680158621,-1968.0,-1888.0,-1734.9777777777779,1731.1556109994704,-4299.0,2084.0,2699.3333333333335,3815.7564482979355,-4175.0,16446.0,paper
-2386.3703703703704,1750.3976723579162,-6608.0,1076.0,-7241.925925925926,8457.799995479485,-16304.0,3924.0,14039.851851851852,7311.518960904738,3232.0,25272.0,-2021.9259259259259,18.904468185561775,-2064.0,-1984.0,3571.296296296296,3557.1859860852287,-1053.0,9101.0,-483.7037037037037,1201.2424598279263,-3918.0,2097.0,scissors
-1755.2592592592594,1601.8865942908258,-5116.0,2376.0,-6774.222222222223,8392.277646894441,-16560.0,3668.0,14429.333333333334,7846.231510927836,828.0,26332.0,-2020.148148148148,15.747292083949164,-2048.0,-1984.0,3486.4444444444443,4142.508282646502,-2493.0,10158.0,-655.9629629629629,997.125463962881,-3406.0,561.0,scissors
-2385.037037037037,1532.2171336756892,-5800.0,224.0,-5750.962962962963,8160.243555384292,-16548.0,4308.0,14717.777777777777,7929.5753564319775,748.0,24480.0,-2008.888888888889,16.800488393389347,-2032.0,-1968.0,3935.222222222222,3366.8851883892435,-489.0,9121.0,-662.5185185185185,757.2073372379269,-2169.0,1176.0,scissors
-2899.6363636363635,1353.0296979875807,-5496.0,760.0,-7001.575757575758,7842.248079434489,-16256.0,3648.0,14013.212121212122,7764.392022872652,672.0,23260.0,-2008.2424242424242,17.942669643600805,-2048.0,-1968.0,2812.6666666666665,2996.6232210884746,-2310.0,6576.0,-755.1515151515151,1011.2135074136211,-2780.0,1985.0,scissors
-3054.5555555555557,851.7706748530866,-4784.0,-668.0,-4596.222222222223,7139.8191538165975,-15828.0,4088.0,16981.777777777777,5017.294929177396,2528.0,21372.0,-2012.0,19.64251947761721,-2048.0,-1968.0,2440.972222222222,1617.8733393141415,-584.0,5000.0,-703.3888888888889,1004.9617271398314,-2882.0,1927.0,scissors
-2266.3783783783783,1294.3629782713656,-4592.0,1256.0,-5717.405405405405,7562.3999844973505,-16384.0,4188.0,15652.756756756757,6780.311158893182,1008.0,22168.0,-2006.4864864864865,12.76632206154063,-2032.0,-1984.0,2792.324324324324,1852.730118471628,-849.0,5413.0,-727.0,1016.355280182848,-3158.0,1470.0,scissors
-2733.4054054054054,1300.2673968470112,-5144.0,752.0,-5095.027027027027,8205.835506538038,-16400.0,4576.0,15436.0,6997.077548678607,3656.0,23684.0,-2000.8648648648648,16.41503741858219,-2032.0,-1952.0,2693.837837837838,2339.69780234677,-671.0,6356.0,-701.6216216216217,1079.467290208754,-3320.0,1480.0,scissors
-2092.090909090909,1212.2065949138548,-5248.0,704.0,-4920.636363636364,8588.316604390619,-16840.0,5312.0,15534.272727272728,6256.793466467437,1124.0,21624.0,-2006.909090909091,20.5299760212574,-2048.0,-1968.0,2278.318181818182,2006.498219712204,-768.0,5174.0,-450.09090909090907,633.1841944501457,-1921.0,945.0,scissors
-2268.6153846153848,967.963260921574,-4220.0,1356.0,-4312.0,8969.988135883723,-16420.0,5960.0,15601.128205128205,6405.900040215752,3400.0,24252.0,-2007.7948717948718,21.363002311152073,-2048.0,-1968.0,2647.076923076923,2381.002601565981,-865.0,6176.0,-686.4871794871794,724.4952824587565,-2086.0,291.0,scissors
-2243.1111111111113,739.5472270315812,-3892.0,-580.0,-4733.155555555555,8520.571752997554,-16380.0,5852.0,16018.577777777778,5807.812115390508,4364.0,22596.0,-2004.9777777777779,16.649445648550596,-2064.0,-1968.0,2153.5777777777776,1706.0735688188308,-1100.0,5129.0,-525.4,829.5400258851013,-2555.0,1210.0,scissors
-2741.230769230769,1205.2870036358988,-5084.0,-12.0,-5038.5641025641025,8627.260563545593,-16676.0,5944.0,15707.794871794871,5723.45989939416,4716.0,22308.0,-2004.923076923077,19.127528543388387,-2048.0,-1968.0,2440.5384615384614,1878.6837195809792,-817.0,5104.0,-586.1538461538462,627.4079315330714,-2204.0,710.0,scissors
-3309.0285714285715,1263.2556791577742,-6320.0,-64.0,-3870.057142857143,8173.303939702494,-15924.0,5396.0,16280.685714285713,6233.700627714358,416.0,21988.0,-2002.2857142857142,19.45820774736193,-2048.0,-1968.0,2382.2571428571428,2827.0027293819107,-1836.0,7746.0,-799.1714285714286,1347.2414623901661,-3358.0,2357.0,scissors
-3254.153846153846,910.037984703517,-5252.0,-1716.0,-3923.1794871794873,7548.722313888605,-15108.0,5056.0,17386.871794871793,3911.267389017793,7072.0,22488.0,-2002.051282051282,16.075395907294116,-2032.0,-1968.0,2188.74358974359,1825.8323511836677,-1282.0,5620.0,-465.6923076923077,482.60778200839314,-1754.0,412.0,scissors
-2229.6521739130435,1348.5018719122065,-4240.0,2704.0,-5529.304347826087,8534.13059002124,-16576.0,4432.0,14873.739130434782,6935.715726696553,40.0,22808.0,-1998.608695652174,12.987991480799252,-2032.0,-1968.0,2093.9565217391305,2347.2140077265285,-1161.0,6463.0,-465.45652173913044,1229.0954705983627,-6709.0,844.0,scissors
